Title,Unity Essentials
URL,https://learn.unity.com/pathway/unity-essentials?utm_campaign=082025_fe12ebbc-a5d3-4d6b-8df7-3f0ba24911d5&utm_medium=LMS&utm_source=outline&version=6.0
By,Unity Technologies
Use Unity Version,6.0
Total Estimated Duration(HH:MM:SS),11:00:00
Summary,"Designed for anyone new to Unity, this guided learning journey is your first step toward creating confidently in the Unity Editor and bringing your visions to life. In this learning Pathway, you’ll design different rooms of a house, learning the essentials of one key skillset as you complete each room."

Title,URL,Type,Duration(HH:MM:SS),Summary
Collect the collectible,https://learn.unity.com/tutorial/6644c3a0edbc2a2d925e5754?utm_campaign=082025_fe12ebbc-a5d3-4d6b-8df7-3f0ba24911d5&utm_medium=LMS&utm_source=outline&version=6.0,Tutorial,00:30:00,Make each collectible disappear and spawn a cool particle effect when the player gets it.
Programming Essentials: More things to try,https://learn.unity.com/tutorial/669a07dbedbc2a104b6734c3?utm_campaign=082025_fe12ebbc-a5d3-4d6b-8df7-3f0ba24911d5&utm_medium=LMS&utm_source=outline&version=6.0,Tutorial,00:20:00,Further develop your project and skills with optional challenges of varying difficulty.
Unity Essentials: Programming Essentials Quiz,https://learn.unity.com/quiz/6644df52edbc2a2f193b51c8?utm_campaign=082025_fe12ebbc-a5d3-4d6b-8df7-3f0ba24911d5&utm_medium=LMS&utm_source=outline&version=6.0,Quiz,00:05:00,Complete a quiz to get credit for completing the Mission.

Mission 5: 2D Essentials,,,01:30:00,"In this 2D Mission, you'll create a top-down 2D version of the interactive living room scene you created earlier. Just like in the 3D scene, you'll control a character, and try to collect all the objects in a room. By completing this scene, you'll learn how working in 2D is similar to working in 3D, but also how it’s different."
Set up a 2D room,https://learn.unity.com/tutorial/669a09c3edbc2a108606469a?utm_campaign=082025_fe12ebbc-a5d3-4d6b-8df7-3f0ba24911d5&utm_medium=LMS&utm_source=outline&version=6.0,Tutorial,00:20:00,Set up the 2D player character that the user can move around an empty room with boundary walls.
Complete your 2D Puzzle Game,https://learn.unity.com/tutorial/670592b0edbc2a010abb0f2b?utm_campaign=082025_fe12ebbc-a5d3-4d6b-8df7-3f0ba24911d5&utm_medium=LMS&utm_source=outline&version=6.0,Tutorial,00:20:00,"Fill out the 2D room with pushable furniture, collectibles, and a UI that tracks the player's progress."
Add an animated pet,https://learn.unity.com/tutorial/669a0c3aedbc2a0f55548cf3?utm_campaign=082025_fe12ebbc-a5d3-4d6b-8df7-3f0ba24911d5&utm_medium=LMS&utm_source=outline&version=6.0,Tutorial,00:15:00,"Use the Sprite Editor to animate a 2D cat or dog, then add it to the room."
2D Essentials: More things to try,https://learn.unity.com/tutorial/664538d2edbc2a31a4a9fb8c?utm_campaign=082025_fe12ebbc-a5d3-4d6b-8df7-3f0ba24911d5&utm_medium=LMS&utm_source=outline&version=6.0,Tutorial,00:30:00,Further develop your project and skills with optional challenges of varying difficulty.
Unity Essentials: 2D Essentials Quiz,https://learn.unity.com/quiz/66453b2cedbc2a3364898a63?utm_campaign=082025_fe12ebbc-a5d3-4d6b-8df7-3f0ba24911d5&utm_medium=LMS&utm_source=outline&version=6.0,Quiz,00:05:00,Complete a quiz to get credit for completing the Mission.

Mission 6: Publishing Essentials,,,02:35:00,"It's time to collect all your good work together into a singular portfolio piece that you and others can play!A portfolio, especially in the realm of real-time 3D (RT3D) and game development, is not just a collection of work, but a practical way of demonstrating your familiarity with essential tools and concepts. In this Mission, you will package all of your work from this Pathway into a single playable experience that you can easily share with others."
Build your portfolio project,https://learn.unity.com/tutorial/669a0e92edbc2a1087c9ba97?utm_campaign=082025_fe12ebbc-a5d3-4d6b-8df7-3f0ba24911d5&utm_medium=LMS&utm_source=outline&version=6.0,Tutorial,00:20:00,Create a main menu scene to access all your work from one place.
Publish to WebGL,https://learn.unity.com/tutorial/66460b5fedbc2a00216e3321?utm_campaign=082025_fe12ebbc-a5d3-4d6b-8df7-3f0ba24911d5&utm_medium=LMS&utm_source=outline&version=6.0,Tutorial,00:20:00,Publish your project as a WebGL build so you can easily share it with anyone on any browser.
Challenge: Add a bonus scene,https://learn.unity.com/tutorial/669a148cedbc2a0f55548da5?utm_campaign=082025_fe12ebbc-a5d3-4d6b-8df7-3f0ba24911d5&utm_medium=LMS&utm_source=outline&version=6.0,Tutorial,01:30:00,Create a brand new unique bonus scene to your project to make your portfolio stand out.
Capture a video of your project,https://learn.unity.com/tutorial/669a1793edbc2a1233acfb7c?utm_campaign=082025_fe12ebbc-a5d3-4d6b-8df7-3f0ba24911d5&utm_medium=LMS&utm_source=outline&version=6.0,Tutorial,00:15:00,Use Unity’s Recorder package to capture and export a video of your project directly from the Editor.
Share your project,https://learn.unity.com/tutorial/6646376dedbc2a013010c31a?utm_campaign=082025_fe12ebbc-a5d3-4d6b-8df7-3f0ba24911d5&utm_medium=LMS&utm_source=outline&version=6.0,Exercise,00:10:00,Share your work to get credit for completing the entire Pathway.
